归一化方法,变换后最小值,变换后最大值,变换后均值,变换后标准差,是否受量纲影响,是否受异常值影响
原始数据,-30.71,55608.45,795.1102,4911.5047,是,是
MinMax,0.0,1.0,0.2982,0.2941,否,是（min/max 由极值决定）
ZScore,-3.0912,12.7261,-0.0,1.0,否,较小（由均值方差决定）
