特征类别,互信息总得分,特征个数,平均互信息
窗口特征,19.35577220733501,25,0.7742308882934005
滞后特征,11.864868927671823,36,0.3295796924353284
原始气象因子,2.0901629349042445,7,0.2985947049863206
月份/日序编码,1.6248668202254644,4,0.4062167050563661
派生气象特征,1.52980642277236,5,0.305961284554472
季节编码,0.3831645881525174,4,0.09579114703812935
