模型,策略,预见期,RMSE,MAE,NSE,R2,PBIAS(%),MAPE(%),NSE_log,RMSE_log,NSE等级
人工神经网络 (ANN/MLP),多输出预测,3,811.58,432.34,0.0796,0.1516,-0.98,73.9,0.2031,0.7918,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多输出预测,4,879.46,483.65,-0.0799,0.095,4.57,92.08,-0.0057,0.8906,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多输出预测,5,924.26,502.48,-0.1923,0.0493,2.17,99.33,-0.0766,0.9223,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多输出预测,6,898.48,487.91,-0.1265,0.0488,-3.79,95.52,-0.0749,0.9223,不满意 (Unsatisfactory)
人工神经网络 (ANN/MLP),多输出预测,7,935.28,524.32,-0.2205,0.0327,-4.77,101.9,-0.135,0.9486,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,1,651.96,265.48,0.4005,0.4109,-11.51,32.68,0.672,0.5051,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,2,718.67,324.93,0.2772,0.2868,-13.01,43.5,0.4806,0.6381,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,3,752.12,363.91,0.2096,0.2242,-13.85,51.71,0.3532,0.7134,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,4,779.53,390.16,0.1516,0.1748,-14.88,57.59,0.2603,0.7638,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,5,804.99,409.69,0.0956,0.1312,-15.92,61.94,0.1778,0.806,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,6,819.36,420.9,0.0632,0.1069,-16.95,65.27,0.1183,0.8354,不满意 (Unsatisfactory)
随机森林 (RF),多输出预测,7,828.45,428.68,0.0424,0.0913,-18.15,68.19,0.0751,0.8563,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,1,818.49,379.74,0.0551,0.1482,-39.67,47.24,-0.0517,0.9044,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,2,825.09,402.3,0.0472,0.1252,-24.99,51.64,0.0265,0.8736,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,3,849.47,405.76,-0.0083,0.0929,-41.67,52.09,-0.208,0.9749,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,4,862.53,425.81,-0.0387,0.0633,-29.89,54.08,-0.0765,0.9215,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,5,868.85,415.9,-0.0536,0.0685,-42.36,49.48,-0.1991,0.9734,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,6,872.74,402.0,-0.0629,0.0645,-47.12,46.04,-0.2185,0.982,不满意 (Unsatisfactory)
长短期记忆网络 (LSTM),多输出预测,7,881.59,406.19,-0.0844,0.0545,-47.01,45.29,-0.2813,1.0079,不满意 (Unsatisfactory)
简单平均集成,多输出预测,1,673.76,268.78,0.3597,0.3906,-20.08,31.59,0.6367,0.5316,不满意 (Unsatisfactory)
简单平均集成,多输出预测,2,751.9,346.59,0.2088,0.2265,-13.7,45.53,0.4322,0.6672,不满意 (Unsatisfactory)
