模型,策略,预见期,params,std_test_score,rank_test_score,mean_test_RMSE
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.10793051246092256,4,0.621020868046779
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.10742939338660971,5,0.621759158532735
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.10823711715132198,6,0.6224665512789432
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.11334505634047945,7,0.6230092708359234
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.10917091838607054,8,0.6230458455722937
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.10453742347925583,9,0.6312727052024504
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.12604478067814473,10,0.6360164165888055
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.12530716263559824,11,0.6377306316221675
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.09519344728634428,12,0.6411053237205233
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.09471779545367151,13,0.647865294793928
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.1409226245691848,14,0.6492716568693306
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.14128352935222185,15,0.6495032193731668
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.10785990085524114,16,0.6511268967052443
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.13833014844974673,17,0.6556619391354752
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.12238735517550536,18,0.6557945500417134
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.1332028983700479,19,0.6606548671198327
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.12924830359134235,20,0.6673176444276406
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.14062205224869662,21,0.6710822350190372
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.13389022044569074,22,0.678295490240927
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.12426917761012693,23,0.6791982490389072
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.14002500303284968,24,0.6811895339912993
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.12454255875067377,25,0.6827646840534308
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.12627547760361982,26,0.6849133344993704
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.12660094474124223,27,0.6906359592116958
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.20683513516179344,28,0.6912486077694991
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.13777986031904801,29,0.6917000860906787
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.16563980221018673,30,0.694923600393058
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.1399018265329369,31,0.6965727214681
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.1378517938759307,32,0.6986179931209402
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.15948689630289117,33,0.6989680461210906
ANN,多步直接预测,2,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.16647447676652888,34,0.6991446048893876
ANN,多步直接预测,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.1381448774137681,35,0.7002024857019312
ANN,多步直接预测,2,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.22281118303773947,36,0.7189625004911404
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.13720673294970878,1,0.6955572882668862
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.09482457306579524,2,0.7068741972516053
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.12537748677493232,3,0.7091790390951648
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.11315785070479706,4,0.7152411890254129
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.12273726401095394,5,0.7161852908896479
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.11733743578966216,6,0.718950489751581
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.12359944466074575,7,0.7214357436452378
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.1326533941897864,8,0.728323147069721
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.13897769661333775,9,0.7344602581664358
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.14322221266720608,10,0.7377529705402467
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.14367006247091363,11,0.7382970169038782
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.19465409341386777,12,0.7450522015436111
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.11061406138822184,13,0.7477506642772352
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.12169870882549386,14,0.7499370173868293
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.11107440684134434,15,0.7517943280408819
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.11303631090257636,16,0.7540807797251777
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.1388286060479962,17,0.7566361204337237
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.11913808581492068,18,0.7572958146506484
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.15762658344559585,19,0.7575764188156612
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.12069471154654987,20,0.7587602917600633
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.14545684716790322,21,0.7613241906642075
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.15742176301189123,22,0.7618062687516973
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.1337467017030223,23,0.764693048486734
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.1645049735868734,24,0.7664418607606386
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.1986792575548678,25,0.7674621864839103
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.1710423111659148,26,0.7688372556320449
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.1383316435606601,27,0.7720019906777695
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.11360825167503494,28,0.7726337717842039
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.12870137224674316,29,0.779480669353322
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.17317255169134935,30,0.7801148572590929
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.22500533195906325,31,0.782046734653918
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.13465985269369868,32,0.7874415941395867
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.1612479685945408,33,0.7952666876114717
ANN,多步直接预测,3,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.20566307306499204,34,0.8542336364488584
ANN,多步直接预测,3,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.20087681282895375,35,0.8590726401536747
ANN,多步直接预测,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.19000090883054763,36,0.904431848951255
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.0752452159437038,1,0.7057296409261369
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.07399991952297388,2,0.7074114553946392
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.0743864643952692,3,0.707595763116494
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.07917177204712396,4,0.716696445968862
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.09214603609401129,5,0.7321063266288076
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.09221351522628159,6,0.7340631108256308
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.09886422180401744,7,0.7389589686096164
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.10011244815222624,8,0.7390257143917944
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0005}",0.09942710230824872,9,0.7402855276030103
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.09876627573310663,10,0.7406654581377318
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.12395053054651888,11,0.741201370795275
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.09058232854298126,12,0.7424031283013574
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.0920963582452496,13,0.7432056815941248
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.12704852201737377,14,0.7433686008606304
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",0.09242865961638383,15,0.7448777876634732
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",0.09627881961912399,16,0.7507338052209408
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.11235590728441049,17,0.7544187112013429
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.11197431490896738,18,0.756768926574989
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005}",0.12670780973313492,19,0.7575222302538389
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",0.1112923644710566,20,0.7579384394474937
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.0972205744316654,21,0.758226562771819
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",0.110187770116459,22,0.7647567152109364
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.1368454672809842,23,0.7654473464507259
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.10915850919879107,24,0.7686380673395758
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",0.1652755416985827,25,0.7698456334938073
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.10320360133580318,26,0.7773619943851614
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",0.11529659709478927,27,0.7820163356806682
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.12354652884482595,28,0.785845337783233
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.11435800131551074,29,0.7883241698727149
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.16807050110280145,30,0.8133348173175957
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.16445395796806908,31,0.8143625670008178
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.0005}",0.17372032328045314,32,0.8194702289915025
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}",0.12856854159300052,33,0.8227693683424372
ANN,多步直接预测,4,"{'alpha': 1e-05, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.1832327272112883,34,0.8443741027180343
ANN,多步直接预测,4,"{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.18724124014625335,35,0.8450020562742555
ANN,多步直接预测,4,"{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001}",0.18876250936305897,36,0.8501505621543073
ANN,多步直接预测,5,"{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0005}",0.09282059546781063,1,0.7397348684889496
